OrderID,OrderDate,Region,State,City,Channel,Segment,Category,Product,Units,UnitPrice,Revenue,Cost,Profit
SO-2512-10098,2025-12-05,South,TN,Nashville,Online,Small Business,Technology,Mouse,4,20.64,82.56,50.82,31.74
SO-2506-10099,2025-06-14,Northeast,NJ,Newark,Online,Corporate,Furniture,Standing Desk,5,329.62,1648.1,1067.9,580.2
SO-2511-10100,2025-11-19,Midwest,IL,Chicago,Online,Small Business,Office Supplies,Pens,6,5.12,30.72,20.65,10.07
SO-2508-10101,2025-08-19,Midwest,IL,Chicago,Online,Corporate,Technology,Laptop Stand,4,30.44,121.76,79.77,41.99
SO-2504-10102,2025-04-02,West,AZ,Phoenix,Partner,Corporate,Technology,Laptop Stand,4,27.1,108.4,84.28,24.12
SO-2505-10103,2025-05-31,Northeast,NJ,Newark,Partner,Small Business,Technology,Mouse,3,17.39,52.17,34.73,17.44
SO-2402-10104,2024-02-25,South,GA,Atlanta,Partner,Corporate,Furniture,Standing Desk,4,262.39,1049.56,700.01,349.55
SO-2406-10105,2024-06-18,Northeast,NY,New York,Partner,Small Business,Office Supplies,Paper,4,6.35,25.4,17.71,7.69
SO-2405-10106,2024-05-27,Northeast,NY,New York,In-Store,Small Business,Technology,Monitor,3,161.56,484.68,314.8,169.88
SO-2502-10107,2025-02-17,West,WA,Seattle,Online,Small Business,Furniture,Bookshelf,6,93.12,558.72,342.95,215.77
SO-2501-10108,2025-01-03,Midwest,MI,Detroit,In-Store,Small Business,Technology,Keyboard,3,43.49,130.47,96.32,34.15
SO-2405-10109,2024-05-29,South,FL,Miami,In-Store,Corporate,Furniture,Filing Cabinet,6,171.41,1028.46,661.01,367.45
SO-2411-10110,2024-11-13,South,TN,Nashville,Partner,Small Business,Office Supplies,Pens,2,4.65,9.3,6.45,2.85
SO-2501-10111,2025-01-07,Midwest,IL,Chicago,Online,Consumer,Furniture,Desk Chair,5,119.13,595.65,387.77,207.88
SO-2412-10112,2024-12-31,West,WA,Seattle,Partner,Consumer,Furniture,Desk Chair,3,111.36,334.08,199.81,134.27
SO-2409-10113,2024-09-06,West,AZ,Phoenix,Partner,Consumer,Furniture,Standing Desk,2,273.37,546.74,329.63,217.11
SO-2401-10114,2024-01-12,West,CA,Los Angeles,Online,Small Business,Office Supplies,Pens,5,4.99,24.95,16.65,8.3
SO-2502-10115,2025-02-19,Midwest,MN,Minneapolis,Online,Consumer,Furniture,Filing Cabinet,5,147.92,739.6,495.8,243.8
SO-2506-10116,2025-06-14,Northeast,NY,New York,Partner,Small Business,Office Supplies,Paper,2,7.23,14.46,9.38,5.08
SO-2505-10117,2025-05-04,West,WA,Seattle,Partner,Small Business,Furniture,Bookshelf,1,78.21,78.21,54.99,23.22
SO-2409-10118,2024-09-24,South,TN,Nashville,Online,Small Business,Technology,Laptop Stand,4,26.22,104.88,66.24,38.64
SO-2506-10119,2025-06-19,South,GA,Atlanta,In-Store,Corporate,Technology,Monitor,1,191.42,191.42,133.93,57.49
SO-2406-10120,2024-06-12,Northeast,NY,New York,Partner,Corporate,Furniture,Desk Chair,1,117.11,117.11,71.96,45.15
SO-2507-10121,2025-07-03,Northeast,NJ,Newark,In-Store,Corporate,Technology,Keyboard,3,38.54,115.62,88.55,27.07
SO-2403-10122,2024-03-20,South,GA,Atlanta,Partner,Consumer,Technology,Keyboard,4,40.83,163.32,104.22,59.1
SO-2401-10123,2024-01-30,Northeast,NY,New York,Online,Consumer,Office Supplies,Paper,4,6.17,24.68,17.01,7.67
SO-2506-10124,2025-06-30,Northeast,NY,New York,Partner,Consumer,Furniture,Desk Chair,3,139.22,417.66,268.05,149.61
SO-2510-10125,2025-10-11,West,CA,Los Angeles,Online,Small Business,Office Supplies,Pens,4,4.09,16.36,9.08,7.28
SO-2503-10126,2025-03-09,Midwest,MN,Minneapolis,In-Store,Consumer,Office Supplies,Pens,1,3.95,3.95,2.62,1.33
SO-2505-10127,2025-05-30,Midwest,MI,Detroit,In-Store,Corporate,Technology,Mouse,2,21.28,42.56,27.99,14.57
SO-2508-10128,2025-08-02,South,TN,Nashville,Online,Small Business,Office Supplies,Stapler,2,13.06,26.12,14.75,11.37
SO-2401-10129,2024-01-05,South,FL,Miami,In-Store,Corporate,Office Supplies,Stapler,6,11.05,66.3,38.47,27.83
SO-2508-10130,2025-08-14,South,TN,Nashville,Online,Corporate,Furniture,Standing Desk,1,342.03,342.03,228.33,113.7
SO-2512-10131,2025-12-14,Northeast,MA,Boston,Partner,Consumer,Technology,Keyboard,2,35.31,70.62,43.4,27.22
SO-2510-10132,2025-10-23,Midwest,MI,Detroit,Online,Corporate,Office Supplies,Stapler,8,14.66,117.28,80.19,37.09
SO-2408-10133,2024-08-27,Northeast,PA,Philadelphia,In-Store,Consumer,Technology,Laptop Stand,2,33.6,67.2,44.91,22.29
SO-2411-10134,2024-11-27,South,FL,Miami,Online,Corporate,Furniture,Bookshelf,1,90.58,90.58,61.06,29.52
SO-2407-10135,2024-07-15,West,AZ,Phoenix,In-Store,Corporate,Furniture,Standing Desk,4,266.34,1065.36,661.0,404.36
SO-2409-10136,2024-09-21,Northeast,MA,Boston,Partner,Consumer,Office Supplies,Binders,2,10.3,20.6,12.41,8.19
SO-2410-10137,2024-10-07,Northeast,NY,New York,Online,Consumer,Office Supplies,Stapler,3,11.63,34.89,19.97,14.92
SO-2408-10138,2024-08-15,South,FL,Miami,Partner,Small Business,Office Supplies,Stapler,1,12.85,12.85,7.09,5.76
SO-2503-10139,2025-03-16,Midwest,MN,Minneapolis,Partner,Small Business,Office Supplies,Pens,1,4.16,4.16,2.75,1.41
SO-2510-10140,2025-10-05,West,WA,Seattle,Partner,Consumer,Furniture,Standing Desk,3,316.15,948.45,600.57,347.88
SO-2502-10141,2025-02-23,West,WA,Seattle,Partner,Small Business,Technology,Keyboard,1,36.99,36.99,25.22,11.77
SO-2408-10142,2024-08-11,Northeast,PA,Philadelphia,Online,Small Business,Office Supplies,Stapler,1,14.28,14.28,9.8,4.48
SO-2501-10143,2025-01-13,Northeast,PA,Philadelphia,Partner,Corporate,Office Supplies,Stapler,1,13.15,13.15,8.65,4.5
SO-2412-10144,2024-12-30,West,CO,Denver,Partner,Consumer,Office Supplies,Pens,3,4.35,13.05,8.67,4.38
SO-2511-10145,2025-11-22,Midwest,MI,Detroit,In-Store,Small Business,Technology,Laptop Stand,2,26.04,52.08,39.83,12.25
SO-2502-10146,2025-02-05,Midwest,IL,Chicago,In-Store,Consumer,Office Supplies,Binders,2,10.71,21.42,14.8,6.62
SO-2412-10147,2024-12-27,Northeast,MA,Boston,Partner,Small Business,Office Supplies,Pens,1,4.45,4.45,2.82,1.63
SO-2512-10148,2025-12-22,West,CO,Denver,In-Store,Small Business,Technology,Keyboard,4,43.35,173.4,128.5,44.9
SO-2511-10149,2025-11-01,Midwest,MN,Minneapolis,In-Store,Corporate,Furniture,Standing Desk,4,298.33,1193.32,764.75,428.57
SO-2402-10150,2024-02-28,West,CO,Denver,Online,Small Business,Technology,Mouse,4,20.95,83.8,64.29,19.51
SO-2511-10151,2025-11-02,Midwest,OH,Columbus,In-Store,Corporate,Furniture,Bookshelf,5,93.58,467.9,347.09,120.81
SO-2507-10152,2025-07-01,South,AL,Birmingham,Online,Small Business,Office Supplies,Pens,3,4.86,14.58,8.78,5.8
SO-2404-10153,2024-04-29,South,FL,Miami,Partner,Consumer,Office Supplies,Stapler,1,13.74,13.74,8.65,5.09
SO-2512-10154,2025-12-18,Midwest,MN,Minneapolis,In-Store,Consumer,Office Supplies,Pens,3,4.45,13.35,8.46,4.89
SO-2410-10155,2024-10-30,West,WA,Seattle,In-Store,Corporate,Furniture,Desk Chair,3,116.74,350.22,232.75,117.47
SO-2402-10156,2024-02-16,West,CO,Denver,Partner,Small Business,Furniture,Desk Chair,3,117.53,352.59,205.73,146.86
SO-2510-10157,2025-10-02,Midwest,IL,Chicago,Online,Corporate,Furniture,Filing Cabinet,2,159.25,318.5,223.62,94.88
SO-2412-10158,2024-12-16,South,FL,Miami,In-Store,Corporate,Technology,Laptop Stand,2,32.5,65.0,49.67,15.33
SO-2506-10159,2025-06-02,South,FL,Miami,In-Store,Consumer,Technology,Monitor,1,197.69,197.69,136.54,61.15
SO-2402-10160,2024-02-11,West,CA,Los Angeles,In-Store,Small Business,Technology,Keyboard,4,37.8,151.2,106.68,44.52
SO-2511-10161,2025-11-04,West,CA,Los Angeles,Online,Small Business,Technology,Monitor,3,158.85,476.55,356.44,120.11
SO-2404-10162,2024-04-13,West,WA,Seattle,Partner,Consumer,Furniture,Desk Chair,2,118.78,237.56,168.59,68.97
SO-2409-10163,2024-09-21,South,TN,Nashville,In-Store,Consumer,Office Supplies,Paper,5,6.72,33.6,22.63,10.97
SO-2508-10164,2025-08-04,West,CA,Los Angeles,Partner,Consumer,Technology,Mouse,2,19.57,39.14,30.06,9.08
SO-2511-10165,2025-11-06,South,TN,Nashville,Online,Corporate,Furniture,Filing Cabinet,1,157.42,157.42,107.15,50.27
SO-2512-10166,2025-12-01,West,CA,Los Angeles,Partner,Consumer,Office Supplies,Stapler,2,11.87,23.74,13.6,10.14
SO-2407-10167,2024-07-10,South,AL,Birmingham,Online,Corporate,Office Supplies,Pens,3,4.45,13.35,7.89,5.46
SO-2402-10168,2024-02-02,Northeast,NY,New York,Online,Consumer,Technology,Laptop Stand,3,29.64,88.92,57.42,31.5
SO-2509-10169,2025-09-15,South,GA,Atlanta,Online,Corporate,Technology,Monitor,4,169.87,679.48,524.82,154.66
SO-2510-10170,2025-10-06,Midwest,MN,Minneapolis,In-Store,Corporate,Technology,Keyboard,4,35.73,142.92,95.1,47.82
SO-2509-10171,2025-09-06,West,CO,Denver,In-Store,Small Business,Technology,Monitor,1,168.78,168.78,130.86,37.92
SO-2501-10172,2025-01-20,South,AL,Birmingham,Partner,Consumer,Furniture,Bookshelf,1,92.28,92.28,59.6,32.68
SO-2402-10173,2024-02-13,West,AZ,Phoenix,In-Store,Consumer,Furniture,Desk Chair,4,123.03,492.12,362.45,129.67
SO-2407-10174,2024-07-24,Northeast,PA,Philadelphia,Partner,Consumer,Furniture,Filing Cabinet,3,152.64,457.92,327.67,130.25
SO-2501-10175,2025-01-29,Midwest,IL,Chicago,In-Store,Small Business,Furniture,Filing Cabinet,3,158.33,474.99,336.15,138.84
SO-2411-10176,2024-11-24,South,FL,Miami,In-Store,Small Business,Office Supplies,Pens,2,4.35,8.7,5.46,3.24
SO-2501-10177,2025-01-02,Northeast,MA,Boston,In-Store,Small Business,Office Supplies,Pens,4,3.94,15.76,10.57,5.19
SO-2406-10178,2024-06-08,Northeast,MA,Boston,In-Store,Small Business,Office Supplies,Stapler,2,12.5,25.0,14.15,10.85
SO-2508-10179,2025-08-23,South,FL,Miami,Partner,Consumer,Technology,Mouse,7,17.56,122.92,93.02,29.9
SO-2409-10180,2024-09-17,Midwest,MI,Detroit,Online,Corporate,Technology,Mouse,1,22.67,22.67,16.94,5.73
SO-2505-10181,2025-05-13,Northeast,MA,Boston,Online,Small Business,Technology,Mouse,3,17.16,51.48,34.31,17.17
SO-2511-10182,2025-11-16,West,CA,Los Angeles,Partner,Corporate,Furniture,Desk Chair,2,120.52,241.04,178.99,62.05
SO-2409-10183,2024-09-19,Northeast,NJ,Newark,In-Store,Consumer,Office Supplies,Binders,1,11.39,11.39,7.96,3.43
SO-2511-10184,2025-11-24,South,GA,Atlanta,Partner,Corporate,Technology,Laptop Stand,2,25.99,51.98,38.25,13.73
SO-2503-10185,2025-03-27,West,CA,Los Angeles,Online,Consumer,Technology,Monitor,4,173.06,692.24,462.07,230.17
SO-2509-10186,2025-09-25,South,TN,Nashville,In-Store,Small Business,Furniture,Standing Desk,4,326.89,1307.56,775.68,531.88
SO-2408-10187,2024-08-27,Northeast,NJ,Newark,In-Store,Consumer,Office Supplies,Stapler,3,14.32,42.96,27.68,15.28
SO-2503-10188,2025-03-25,Midwest,OH,Columbus,Online,Corporate,Technology,Keyboard,3,42.82,128.46,87.51,40.95
SO-2409-10189,2024-09-23,West,CO,Denver,In-Store,Consumer,Office Supplies,Pens,4,3.85,15.4,9.79,5.61
SO-2408-10190,2024-08-04,Midwest,MN,Minneapolis,Partner,Corporate,Technology,Mouse,7,17.91,125.37,89.46,35.91
SO-2408-10191,2024-08-31,Midwest,IL,Chicago,Online,Corporate,Technology,Keyboard,3,45.64,136.92,88.6,48.32
SO-2503-10192,2025-03-28,Midwest,MN,Minneapolis,Partner,Corporate,Office Supplies,Paper,2,7.69,15.38,10.72,4.66
SO-2508-10193,2025-08-08,Northeast,NJ,Newark,Online,Consumer,Office Supplies,Binders,1,9.05,9.05,5.57,3.48
SO-2505-10194,2025-05-22,Northeast,MA,Boston,In-Store,Consumer,Furniture,Standing Desk,3,272.69,818.07,559.11,258.96
SO-2502-10195,2025-02-21,Northeast,MA,Boston,Partner,Consumer,Furniture,Standing Desk,1,307.45,307.45,216.62,90.83
SO-2511-10196,2025-11-12,Midwest,MI,Detroit,In-Store,Consumer,Technology,Laptop Stand,6,26.3,157.8,116.35,41.45
SO-2504-10197,2025-04-01,Northeast,PA,Philadelphia,Partner,Consumer,Office Supplies,Pens,3,4.76,14.28,9.09,5.19
SO-2501-10198,2025-01-25,South,FL,Miami,Partner,Consumer,Furniture,Standing Desk,5,328.48,1642.4,1151.16,491.24
SO-2409-10199,2024-09-06,Midwest,IL,Chicago,Online,Consumer,Furniture,Filing Cabinet,3,157.42,472.26,284.7,187.56
SO-2512-10200,2025-12-16,Northeast,MA,Boston,Partner,Consumer,Office Supplies,Binders,6,9.24,55.44,37.29,18.15
SO-2407-10201,2024-07-02,Midwest,IL,Chicago,Online,Corporate,Furniture,Filing Cabinet,4,161.09,644.36,468.98,175.38
SO-2408-10202,2024-08-20,South,TN,Nashville,Online,Consumer,Technology,Monitor,2,158.93,317.86,241.32,76.54
SO-2506-10203,2025-06-22,West,CO,Denver,Online,Corporate,Office Supplies,Paper,6,7.91,47.46,28.87,18.59
SO-2411-10204,2024-11-24,South,FL,Miami,In-Store,Small Business,Technology,Laptop Stand,1,27.65,27.65,18.76,8.89
SO-2510-10205,2025-10-09,South,FL,Miami,Online,Corporate,Furniture,Standing Desk,2,341.2,682.4,444.76,237.64
SO-2502-10206,2025-02-10,South,AL,Birmingham,In-Store,Small Business,Office Supplies,Binders,4,9.79,39.16,24.5,14.66
SO-2402-10207,2024-02-06,South,GA,Atlanta,Partner,Consumer,Office Supplies,Binders,4,11.24,44.96,28.93,16.03
SO-2510-10208,2025-10-25,Midwest,IL,Chicago,Online,Consumer,Furniture,Desk Chair,7,127.4,891.8,563.55,328.25
SO-2410-10209,2024-10-27,South,FL,Miami,In-Store,Small Business,Office Supplies,Stapler,3,13.34,40.02,27.61,12.41
